N,naive,fabin_f,rabin_hash;;;;
;;;;
1000,0.13066530227661133,0.44358086585998535,0.40288257598876953;;;;
;;;;
2000,0.5373916625976562,1.7808091640472412,1.6199061870574951;;;;
;;;;
3000,1.2531983852386475,4.085932970046997,3.7163186073303223;;;;
;;;;
4000,2.150747537612915,7.273896217346191,6.611389875411987;;;;
;;;;
5000,3.3762972354888916,11.440687656402588,10.385638952255249;;;;
;;;;
8000,8.700943231582642,29.603266716003418,26.856115579605103;;;;
;;;;
;;;;
;;;;
;;;;
;Time in seconds;Naive_search;Rabin-Karp_search;Rabin-Karp-hash_search
;1000_pattern.txt;0,130665;0,443581;0,402883
;2000_pattern.txt;0,537392;1,780809;1,619906
;3000_pattern.txt;1,253198;4,085933;3,716319
;4000_pattern.txt;2,150748;7,273896;6,611390
;5000_pattern.txt;3,376297;11,440688;10,385639
;8000_pattern.txt;8,700943;29,603267;26,856116
